Date;AMZN;NFLX;PFE;AAPL;NKE
01/08/2017;996.190002;182.029999;27.251379;35.775372;57.608780
02/08/2017;995.890015;180.740005;27.384478;37.465775;57.560642
03/08/2017;986.919983;179.229996;27.808722;37.091457;57.897594
04/08/2017;987.580017;180.270004;27.983408;37.286964;57.531757
07/08/2017;992.270020;181.330002;27.708897;37.863949;57.560642
08/08/2017;989.840027;178.360001;27.683943;38.166752;57.242950
09/08/2017;982.010010;175.779999;27.825357;38.400398;57.666542
10/08/2017;956.919983;169.139999;27.800406;37.177273;56.867489
11/08/2017;967.989990;171.399994;27.658989;37.694294;56.771221
14/08/2017;983.299988;171.000000;27.708897;38.261570;57.551018
15/08/2017;982.739990;168.500000;27.767128;38.680450;56.376511
16/08/2017;978.179993;169.979996;27.750494;38.524868;56.357254
17/08/2017;960.570007;166.089996;27.409435;37.785248;55.317516
18/08/2017;958.469971;166.539993;27.176517;37.699078;52.901112
21/08/2017;953.289978;166.759995;27.251385;37.629669;51.611073
22/08/2017;966.900024;169.339996;27.575804;38.244816;52.111687
23/08/2017;958.000000;169.059998;27.650671;38.292686;51.611073
24/08/2017;952.450012;168.130005;27.642353;38.122749;51.832504
25/08/2017;945.260010;165.949997;27.775448;38.263977;51.890259
28/08/2017;946.020020;167.119995;27.841997;38.649326;51.726597
29/08/2017;954.059998;168.809998;27.866953;38.994011;50.763885
30/08/2017;967.590027;174.690002;27.825357;39.099335;50.600220
31/08/2017;980.599976;174.710007;28.216328;39.254917;51.015610
01/09/2017;978.250000;174.740005;28.249603;39.266884;51.546928
05/09/2017;965.270020;174.520004;28.116505;38.795345;51.208813
06/09/2017;967.799988;179.250000;28.274559;38.754650;50.967308
07/09/2017;979.469971;179.000000;28.274559;38.599068;50.609882
08/09/2017;965.900024;176.419998;28.366060;37.969559;50.426342
11/09/2017;977.960022;181.740005;28.549065;38.656517;51.228134
12/09/2017;982.580017;185.149994;29.422512;38.503326;51.585567
13/09/2017;999.599976;183.639999;29.164640;38.213703;51.701488
14/09/2017;992.210022;182.630005;29.721977;37.885780;51.904354
15/09/2017;986.789978;182.350006;29.414194;38.268757;52.039593
18/09/2017;974.190002;184.619995;29.572241;37.979126;51.682175
19/09/2017;969.859985;185.679993;29.489059;37.993488;51.517944
20/09/2017;973.210022;185.509995;29.938257;37.356792;51.740124
21/09/2017;964.650024;188.779999;29.921621;36.715305;51.382694
22/09/2017;955.099976;187.350006;29.913300;36.356277;51.431004
25/09/2017;939.789978;178.550003;29.538967;36.035534;51.421341
26/09/2017;938.599976;179.380005;29.364285;36.655476;51.875370
27/09/2017;950.869995;181.970001;29.489059;36.916378;50.880363
28/09/2017;956.400024;180.699997;29.613836;36.688988;50.841728
29/09/2017;961.349976;181.350006;29.697021;36.890041;50.088230
02/10/2017;959.190002;177.009995;30.004797;36.815842;50.107555
03/10/2017;957.099976;179.190002;30.063034;36.976215;49.721142
04/10/2017;965.450012;184.449997;29.913300;36.736858;50.310417
05/10/2017;980.849976;194.389999;29.946577;37.194031;50.407021
06/10/2017;989.580017;198.020004;29.988165;37.172482;50.638859
09/10/2017;990.989990;196.869995;30.063034;37.301739;49.769447
10/10/2017;987.200012;195.080002;30.279312;37.316097;49.779102
11/10/2017;995.000000;194.949997;30.320908;37.471695;49.296097
12/10/2017;1000.929993;195.860001;30.237722;37.340038;49.102894
13/10/2017;1002.940002;199.490005;30.229399;37.577011;49.247795
